Monthly Date,N,SCORE
2012/01,8827.967741935483,0.5612714774463944
2012/02,9307.758620689656,0.5656618176129636
2012/03,10000.516129032258,0.5625677023385109
2012/04,129.24137931034483,0.5596114397445172
2012/05,9141.548387096775,0.5634448546591615
2012/06,10504.866666666667,0.5621529089150575
2012/07,12887.322580645161,0.560340773232881
2012/08,14662.41935483871,0.5556435914515981
2012/09,15304.5,0.551206998280641
2012/10,5727.416666666667,0.5389977449078999
2012/11,12004.5,0.5467797682724288
2013/01,586971.6774193548,0.5442569392438956
2013/02,1504518.6785714286,0.5445514447993253
2013/03,1180279.2258064516,0.5436935319037551
2013/04,1133734.6551724137,0.560964462207926
2013/05,1745774.9677419355,0.5373050799059141
2013/06,1600254.9,0.5395888233650961
2013/07,1161096.5806451612,0.5663483727857402
2013/08,10.258064516129032,0.5540262113650054
2013/09,226082.7,0.5458105428358273
2013/10,1958413.8387096773,0.5319665946138905
2013/11,977893.0333333333,0.5369427863578417
2013/12,1132414.2258064516,0.5286097642944816
2014/01,1039857.7096774194,0.5314465959944965
2014/02,1199363.2142857143,0.5306020305115433
2014/03,2016805.6129032257,0.5337017849772109
2014/04,2589818.2352941176,0.5362003954662145
2014/10,1719681.8064516129,0.5452779695069389
2014/11,1748605.0,0.5451695644644446
2014/12,1756504.1290322582,0.5441392293907041
2015/01,1696655.6451612904,0.5365508922133123
2015/02,1617984.142857143,0.5410606385560632
2015/03,1401854.1612903227,0.5430638861118395
2015/04,1108052.3666666667,0.5476407808952893
2015/05,266179.77419354836,0.6121256761287704
2015/06,246715.73333333334,0.6339464395147272
2015/07,305858.0967741936,0.6559445319987441
2015/08,272360.51612903224,0.6619446121548285
2015/09,257562.13333333333,0.667020343043334
2015/10,256921.16129032258,0.6711760080152087
2015/11,246296.26666666666,0.6776839016390535
2015/12,220135.61290322582,0.6777505862166197
2016/01,86165.83870967742,0.673015678836825
2016/02,101202.06896551725,0.6810238789793694
2016/03,104032.83870967742,0.6836334348340721
2016/04,99285.26666666666,0.6879781353955169
2016/05,98476.51612903226,0.6847070193645648
2016/06,91724.03333333334,0.6853578301991798
2016/07,94097.80645161291,0.7003032448135184
2016/08,62138.22580645161,0.6930567130448516
2016/09,64350.8,0.692475544903245
2016/10,107320.93548387097,0.698883057006648
2016/11,65505.1,0.6970068316196791
2016/12,82472.51612903226,0.7003963939013621
2017/01,177518.7741935484,0.6996334163406208
2017/02,229182.60714285713,0.704554045196544
2017/03,218710.51612903227,0.7027964020289295
2017/04,193897.03333333333,0.7053052139885309
2017/05,195674.5483870968,0.7035634177444112
2017/06,199319.06666666668,0.7053235794757735
2017/07,205616.16129032258,0.7074169461821102
2017/08,190563.74193548388,0.7057879979384722
2017/09,181993.11111111112,0.7033650050245394
2017/10,182902.7741935484,0.7078909294642535
2017/11,178033.23333333334,0.7073310211060579
2017/12,99688.70967741935,0.7050304382757434
2018/01,146312.29032258064,0.7017954493046122
2018/02,181371.5,0.7047502206150728
2018/03,166799.16129032258,0.6972394034567841
2018/04,201461.96666666667,0.6826114660942323
2018/05,163869.38709677418,0.6680264225299799
2018/06,167211.03333333333,0.6745737300671759
2018/07,614881.0645161291,0.6422628422779996
2018/08,903979.2580645161,0.5755908880539062
2018/09,987589.3,0.5731500734217214
2018/10,283950.06451612903,0.6593973036908881
2018/11,203989.56666666668,0.6702982517580446
2018/12,1067501.5161290322,0.5660906254893692
2019/01,1150605.322580645,0.5616664197252283
2019/02,1110857.25,0.5682597192243722
2019/03,880501.4838709678,0.5784852023320465
2019/04,969086.8333333334,0.5758167982142505
2019/05,970308.1935483871,0.5742887311455668
2019/06,421250.3333333333,0.5722412792155799
2019/07,892834.5806451613,0.5671396273153866
2019/08,981845.7096774194,0.5689057805506942
2019/09,990020.1,0.5718395839950617
2019/10,1029051.2258064516,0.5671846360038117
2019/11,932834.1034482758,0.5674159684811987
2019/12,976366.7741935484,0.5673906858143608
2020/01,934628.7419354839,0.5737344168824028
2020/02,925724.0344827586,0.5788489863646503
2020/03,914974.2903225806,0.5634307024171155
2020/04,851619.9,0.5699775996002611
2020/05,779818.8709677419,0.5724781128880934
2020/06,753091.7333333333,0.5698706260332336
2020/07,751726.4838709678,0.5712809757026711
2020/08,1036298.8387096775,0.5707299432489387
2020/09,625598.6,0.570226303611507
2020/10,758913.4193548387,0.573180576492147
2020/11,818268.0333333333,0.5720052887694784
2020/12,711069.2903225806,0.5781245864006669
2021/01,654479.5806451613,0.5665687819690028
2021/02,600767.5714285715,0.5722821889340224
2021/03,549698.2258064516,0.5773208416407383
2021/04,517090.76666666666,0.579971395783342
2021/05,489156.4193548387,0.5827833814977617
2021/06,489520.9666666667,0.5809136016685078
2021/07,483918.0967741936,0.5783347283774367
2021/08,502953.2,0.5766763877178559
2021/09,508637.0333333333,0.5889875222013872
2021/10,523904.3870967742,0.5895682658497566
2021/11,509230.8275862069,0.5938058894035673
2021/12,502354.70967741933,0.5983207944175445
