,match_id,player,opponent,season,match_result,indoors,total_points_won,winners,forehand_winner,backhand_winner,errors_forced,unforced_errors,unforced_errors_net,unforced_errors_long,unforced_errors_forehand,unforced_errors_backhand,forced_errors_by_opponent,forced_errors_by_opponent_net,forced_errors_by_opponent_long,break_points_total,break_points_won,aces,double_faults,double_faults_error_net,double_faults_error_long,total_serves,first_serves_in,first_serve_in_percentage,first_serves_won,first_serves_won_percentage,total_second_serves,second_serves_in,second_serves_in_percentage,second_serves_won,second_serves_won_percentage,first_serve_returns,first_serve_returns_percentage,second_serve_returns,second_serve_returns_percentage,short_rallies_won,short_rallies_won_percentage,medium_rallies_won,medium_rallies_won_percentage,long_rallies_won,long_rallies_won_percentage,service_games_total,service_games_won,service_games_won_percentage,aggressive_error_margin_1,aggressive_error_margin_2,first_serve_performance
38,5e2b2d9d180000af7e6eb54b,Jaeda Daniel,Ncube,20,0,True,66,5,1,2,11,35,13,22,26,9,8,4,4,6,5,0,7,4,3,58,38,0.66,26,0.68,20,13,0.65,9,0.45,29,0.76,15,0.75,49,0.56,9,0.47,8,0.57,5,5,1.0,-19,16,17.03
39,5e2c605f180000d5b96eb57c,Jaeda Daniel,Niezgooda,20,0,False,60,20,7,6,9,21,3,18,9,12,5,5,0,9,7,0,14,8,6,50,28,0.56,22,0.79,22,8,0.36,7,0.32,31,0.78,13,0.76,33,0.5,14,0.54,13,0.81,6,4,0.67,8,29,12.32
40,5e2c640a18000083ba6eb582,Jaeda Daniel,Chang,20,0,False,97,29,10,8,31,45,15,30,23,15,10,5,5,19,10,0,10,8,2,86,55,0.64,32,0.58,31,21,0.68,12,0.39,44,0.92,28,0.88,55,0.61,30,0.52,12,0.5,6,4,0.67,15,60,20.47
41,5e373e8e1e00008e16e057fa,Jaeda Daniel,Dimitrova,20,0,False,66,18,13,5,0,36,12,24,22,14,0,0,0,16,7,0,7,2,5,54,29,0.54,19,0.66,25,18,0.72,11,0.44,32,0.78,13,0.87,43,0.57,17,0.61,6,0.55,5,3,0.6,-18,18,10.2
42,5e3784641e0000d41de05817,Jaeda Daniel,Manu,20,0,True,46,11,3,7,5,29,11,18,16,12,4,1,3,8,2,1,7,3,4,50,29,0.58,21,0.72,21,14,0.67,6,0.29,28,0.93,8,0.8,34,0.58,8,0.36,4,0.29,4,4,1.0,-13,17,12.18
43,5e5af52a1b0000b9e83e6573,Jaeda Daniel,Carter,20,0,False,58,17,4,3,8,38,10,28,25,7,6,3,3,7,5,0,5,0,5,60,42,0.7,20,0.48,18,13,0.72,11,0.61,34,0.89,10,0.91,25,0.48,17,0.53,16,0.57,5,5,1.0,-13,25,14.0
44,5e5d9cb71e00009f809b3742,Jaeda Daniel,Glossman,20,0,False,67,17,5,3,4,32,12,20,18,11,7,4,3,10,6,0,4,2,2,59,47,0.8,28,0.6,12,8,0.67,5,0.42,39,0.91,10,0.67,32,0.57,22,0.55,13,0.57,5,3,0.6,-11,21,22.31
45,6011cd84420000dc0b5aeb84,Jaeda Daniel,Hand,21,0,True,24,2,2,0,1,35,10,25,20,13,4,4,0,4,0,1,2,1,1,37,25,0.68,9,0.36,12,10,0.83,5,0.42,23,0.85,8,0.8,14,0.34,5,0.19,5,0.62,7,2,0.29,-32,4,6.08
46,60143214420000a2575aebaa,Jaeda Daniel,Mattel,21,0,True,78,18,8,6,3,44,13,31,23,18,14,8,6,18,7,1,11,7,4,79,45,0.57,24,0.53,34,23,0.68,16,0.47,36,0.8,19,0.83,39,0.48,25,0.61,14,0.44,12,7,0.58,-23,22,13.67
47,6018319642000009da5aec29,Jaeda Daniel,Aleshina,21,0,True,53,9,5,3,13,14,3,11,9,4,2,1,1,9,6,3,4,3,1,37,21,0.57,16,0.76,16,12,0.75,11,0.69,10,0.71,16,0.89,43,0.67,9,0.82,1,0.5,4,4,1.0,8,25,9.08
