Year,N,SCORE
2012,10152.161904761904,0.5581155810771127
2013,1098476.7335164836,0.5444452630567777
2014,1671284.2060301506,0.5382858466690053
2015,652277.4383561644,0.6193251611242765
2016,88078.3087431694,0.6898582091524247
2017,187742.625,0.7049194730669934
2018,426443.9260273973,0.6508890487571698
2019,942015.9945054945,0.5700553808694613
2020,821895.281420765,0.5719692728961813
2021,527394.2121212122,0.5821502476867998
