Monthly Date,SGIXSENT,IND1CUE1,IND1CEE1,IND1BTY,IND1CER1,IND1BJB,IND1BARC,SGXQIN01,EWH UP,EWJ UP
2006/01,145.472,1091.4014,2051.03745,3095.5274999999997,716.8639000000001,2216.956222222222,194.31111,0.596,,55.382000000000005
2006/02,145.47052631578947,1086.9417894736841,2145.77,3057.357,707.9572631578948,2194.0938421052633,199.77596842105262,0.5552631578947369,,54.566315789473684
2006/03,145.55478260869566,1099.6653913043478,2179.074260869565,3035.296043478261,697.867347826087,2177.784,203.20485217391305,0.6673913043478261,,55.55478260869565
2006/04,144.77736842105264,1103.8533684210527,2229.529222222222,2998.9213684210526,683.0050555555556,2151.786,207.85657368421053,0.646842105263158,,58.72631578947368
2006/05,144.49045454545455,1090.025090909091,2164.544904761905,2983.8487727272727,681.3062857142858,2154.5116842105263,212.2212681818182,0.3518181818181818,,58.73636363636364
2006/06,142.7759090909091,1056.6394545454546,2028.8919999999998,2981.698318181818,682.3248181818182,2169.9313636363636,215.42849545454547,0.5045454545454545,,52.592727272727274
2006/07,142.8435,1059.5149,2057.7087,2988.4328,681.76645,2164.6451578947367,220.45236,0.6134999999999999,,52.751999999999995
2006/08,144.45739130434782,1079.6130869565218,2113.1644347826086,3026.7657391304347,690.1483478260869,2183.718608695652,224.80140869565216,0.7591304347826088,,54.80347826086957
2006/09,145.86100000000002,1102.2186,2162.3262999999997,3052.3544,698.2173,2215.547368421053,227.78173999999999,0.5820000000000001,,54.044000000000004
2006/10,147.22954545454547,1136.3336818181817,2252.349045454546,3049.7650476190474,696.3334090909092,2206.693142857143,224.18937727272726,0.6872727272727274,,55.09818181818182
2006/11,149.9795238095238,1154.5082857142856,2320.1886190476193,3072.8920000000003,700.9357142857143,2217.3825,227.71814,0.7214285714285714,,54.028571428571425
2006/12,152.1805,1174.34565,2360.4853684210525,3079.1512,696.560947368421,2225.3022,233.445315,0.585,,56.306
2007/01,152.7175,1176.59085,2424.0135999999998,3039.388,681.6908999999999,2219.749222222222,244.053475,0.545,,56.715999999999994
2007/02,153.9636842105263,1190.5715263157895,2496.5028947368423,3046.3258421052633,681.2341578947369,2222.9016666666666,245.5660894736842,0.6621052631578948,,58.60842105263158
2007/03,156.03454545454545,1156.1209545454547,2414.5142272727276,3081.220318181818,688.2737727272727,2238.2864285714286,251.51443636363638,0.2540909090909091,,58.53272727272727
2007/04,157.43099999999998,1199.13905,2598.232947368421,3059.10275,675.8732631578947,2231.1454210526317,259.61198,0.6565000000000001,,58.27
2007/05,158.43318181818182,1234.8902727272728,2712.558857142857,3047.419727272727,668.6975714285715,2232.0441428571426,264.40881818181816,0.5972727272727273,,57.65090909090909
2007/06,154.70333333333332,1233.6896666666667,2808.704333333333,2981.55119047619,653.399380952381,2198.4379523809525,266.11997142857143,0.40476190476190477,,58.19809523809524
2007/07,156.31285714285715,1234.0437142857143,2800.7570476190476,3004.4864761904764,657.2628571428571,2204.3514,270.1656619047619,0.29,,58.516190476190474
2007/08,159.9195652173913,1177.588,2645.215,3072.7057826086952,669.4826956521739,2249.8988260869564,273.9007695652174,0.18956521739130436,,55.72173913043478
2007/09,161.58789473684212,1208.564210526316,2696.777105263158,3118.241105263158,673.8335789473684,2266.4251764705878,269.8582631578947,0.6510526315789474,,55.164210526315784
2007/10,160.69695652173914,1238.76,2793.5362173913045,3121.8757272727275,670.0486956521738,2263.012956521739,274.6840130434783,0.7082608695652174,,57.210434782608694
2007/11,159.57666666666668,1173.3375238095239,2705.7228571428573,3201.0666499999998,680.7306666666666,2286.7650999999996,280.65029999999996,0.1538095238095238,,54.89333333333333
2007/12,161.28,1184.26135,2774.538411764706,3231.45715,672.3842941176471,2290.620388888889,287.396405,0.5125,,54.529999999999994
2008/01,162.69,1098.050380952381,2557.0433333333335,3321.705571428571,685.2870952380953,2312.530222222222,293.70220476190474,0.3666666666666667,,50.59619047619047
2008/02,162.541,1077.11985,2382.9978,3340.0267,690.1043999999999,2308.161842105263,296.264895,0.4125,,49.814
2008/03,165.096,1046.1035,2244.277,3424.1590000000006,697.6913684210526,2348.106,301.58941500000003,0.257,,48.894
2008/04,164.18454545454546,1088.6866818181818,2326.244227272727,3383.3004545454546,680.7415454545454,2325.166523809524,309.6314318181818,0.73,,51.32581818181818
2008/05,163.44761904761904,1113.6707142857142,2419.7452000000003,3334.0210476190473,672.1116,2269.3983684210525,321.1559666666667,0.73,,53.48952380952381
2008/06,161.30666666666667,1063.400761904762,2294.2521904761907,3309.4971904761906,654.2789523809524,2254.8728571428574,329.84750952380955,0.31714285714285717,,52.06095238095238
2008/07,161.84772727272727,995.425,2158.5440454545455,3355.655681818182,657.5047727272727,2287.411285714286,337.96235,0.5872727272727273,,48.61818181818182
2008/08,163.4804761904762,1014.7857142857143,2176.515619047619,3400.3590476190475,673.5516666666666,2319.8694761904762,339.7941761904762,0.5323809523809524,,45.79238095238095
2008/09,160.0442857142857,964.8517619047618,2064.176142857143,3448.5430476190472,679.7472857142857,2317.647263157895,339.42445238095235,0.14809523809523809,,43.64
2008/10,154.32260869565218,767.2287391304347,1656.1770434782609,3387.4626521739133,689.0021304347825,2308.9974545454547,342.34245652173917,0.16652173913043478,,35.93391304347826
2008/11,155.1484210526316,697.9526842105264,1571.160210526316,3493.673315789474,709.9864736842105,2328.180470588235,347.8016157894737,0.4247368421052632,,34.88
2008/12,159.57545454545453,693.9409999999999,1557.8827368421053,3780.8065,740.452894736842,2344.6618,355.7955818181818,0.5472727272727272,,35.930181818181815
