"","matchId","Indoors"
"111","5e24ae531b00000f0e48c292","Outdoors"
"112","5e250ae91b00008a1d48c2a7","Indoors"
"113","5e24b1661b0000490e48c297","Indoors"
"114","5e2b2851180000b77d6eb542","Indoors"
"115","5e2b2d9d180000af7e6eb54b","Indoors"
"116","5e2b29c41800001f7e6eb544","Indoors"
"117","5e2b2f02180000b77e6eb54d","Indoors"
"118","5e2b2fb2180000eb7e6eb54e","Outdoors"
"119","5e2b2a33180000207e6eb545","Indoors"
"120","5e2b290a180000d57d6eb543","Indoors"
"121","5e2b2e3a180000b37e6eb54c","Indoors"
"122","5e2b2738180000ce7d6eb540","Indoors"
"123","5e2b2c5e1800008a7e6eb549","Indoors"
"124","5e2b27cd180000d97d6eb541","Indoors"
"125","5e2b2d031800009e7e6eb54a","Indoors"
"126","5e2c605f180000d5b96eb57c","Outdoors"
"127","5e2c640a18000083ba6eb582","Outdoors"
"128","5e2c5fe9180000b0b96eb57b","Outdoors"
"129","5e2c63751800006dba6eb581","Outdoors"
"130","5e2c6179180000d5b96eb57e","Outdoors"
"131","5e2c65b6180000d6ba6eb585","Outdoors"
"132","5e2c64f7180000b3ba6eb584","Outdoors"
"133","5e2c61d918000034ba6eb57f","Outdoors"
"134","5e2c64771800008fba6eb583","Outdoors"
"135","5e2c60db180000d5b96eb57d","Outdoors"
"136","5e2c62ff18000034ba6eb580","Outdoors"
"137","5e2c5f1f180000b0b96eb57a","Outdoors"
"138","5e361e911a0000c3e91ba499","Outdoors"
"139","5e3620061a0000dce91ba49a","Outdoors"
"140","5e373e8e1e00008e16e057fa","Outdoors"
"141","5e3784641e0000d41de05817","Indoors"
"142","5e3781f11e0000831de05812","Indoors"
"143","5e37818f1e00007d1de05811","Indoors"
"144","5e3780581e0000561de0580e","Indoors"
"145","5e373fd71e0000ab16e057fc","Outdoors"
"146","5e3780ec1e0000611de0580f","Indoors"
"147","5e3740681e0000b016e05800","Outdoors"
"148","5e37813d1e0000701de05810","Indoors"
"149","5e373f331e00009c16e057fb","Outdoors"
"150","5e5af52a1b0000b9e83e6573","Outdoors"
"151","5e5ae2281b00001be53e656e","Outdoors"
"152","5e5af45b1b00009ee83e6572","Outdoors"
"153","5e5ae5251b0000a0e53e6571","Outdoors"
"154","5e5ae2801b000020e53e656f","Outdoors"
"155","5e5d9cb71e00009f809b3742","Outdoors"
"156","5e5d9d001e0000d0809b3743","Outdoors"
"157","5e5d9d3e1e000011819b3744","Outdoors"
"158","5e5d9c361e000011819b3741","Outdoors"
"159","5e5d9b731e00009f809b373f","Outdoors"
"160","5e5d9bba1e00009f809b3740","Outdoors"
"161","6005a58d43000009078323fe","Indoors"
"162","6005a7704300008589832403","Indoors"
"163","6005a6bc43000043b3832401","Indoors"
"164","6011cd84420000dc0b5aeb84","Indoors"
"165","6011ce58420000de0b5aeb86","Indoors"
"166","6011d0eb420000d40c5aeb8c","Indoors"
"167","6011cfcf420000980b5aeb8a","Indoors"
"168","6011cf8c4200009a0b5aeb89","Indoors"
"169","60143214420000a2575aebaa","Indoors"
"170","6014330c420000dd575aebad","Indoors"
"171","601432d5420000de575aebac","Indoors"
"172","601434ac420000d1575aebb2","Indoors"
"173","601433cb420000de575aebb0","Indoors"
"174","6014339d4200009c575aebaf","Indoors"
"175","6018319642000009da5aec29","Indoors"
"176","6018328d420000d3d95aec2e","Indoors"
"177","6018325742000008da5aec2c","Indoors"
"178","601832bc42000006da5aec2f","Indoors"
"179","60183371420000ded95aec34","Indoors"
"180","6032c408420000f22117d8d6","Indoors"
"181","6032c365420000f62117d8d3","Indoors"
"182","6032c3bf420000fa2117d8d5","Indoors"
"183","6032c2ec420000fa2117d8d0","Indoors"
"184","6032c2a0420000ec2117d8cf","Indoors"
"185","6032c328420000ec2117d8d2","Indoors"
"186","603311d34200009db717d8ea","Indoors"
"187","6033029e4200003bb717d8e6","Indoors"
"188","6032e7b1420000fa2117d8e4","Indoors"
"189","60330c0542000012b817d8e8","Indoors"
"190","6032e37d420000dfb117d8e3","Indoors"
"191","6033087e4200009db717d8e7","Indoors"
"192","604f8528430000356386b5bc","Outdoors"
"193","604f864a430000166386b5bf","Outdoors"
"194","604f858b430000326386b5bd","Outdoors"
"195","604f8903430000366386b5c7","Outdoors"
"196","604f876c430000376386b5c2","Outdoors"
"197","604f87c1430000336386b5c3","Outdoors"
"198","604f85de430000166386b5be","Outdoors"
"199","604f886a430000356386b5c5","Outdoors"
"200","6058b5304500000abd7c613e","Indoors"
"201","6058b3524500001fa37c613c","Indoors"
"202","6058b35445000020a37c613d","Indoors"
"203","6058b177450000a7a37c6139","Indoors"
"204","6058b1754500001fa37c6138","Indoors"
"205","6058b35145000007a37c613b","Indoors"
"206","6058b8f2450000ada37c6149","Outdoors"
"207","6058b71045000007a37c6146","Outdoors"
"208","6058b8f045000007a37c6148","Outdoors"
"209","6058b539450000ada37c6143","Outdoors"
"210","6058b5374500001ba37c6142","Outdoors"
"211","6058b53a450000ada37c6144","Outdoors"
"212","605bb050440000f0048b7c10","Outdoors"
"213","605bb052440000f0048b7c11","Outdoors"
"214","605bb05344000093228b7c12","Outdoors"
"215","605bb05544000093228b7c13","Outdoors"
"216","605bb0574400002a058b7c14","Outdoors"
"217","605bb058440000f3058b7c15","Outdoors"
"218","6070d392450000c52cfd24c5","Outdoors"
"219","6070d3914500003093fd24c4","Outdoors"
"220","6070d394450000874efd24c6","Outdoors"
"221","6070d1b7450000c52cfd24c2","Outdoors"
"222","6070d1b545000031cffd24c1","Outdoors"
"223","6070d1b8450000186bfd24c3","Outdoors"
"224","607392b74600001fe320179a","Outdoors"
"225","607392b64600001fe3201799","Outdoors"
"226","607392b9460000e9e320179b","Outdoors"
"227","607392b246000048e5201797","Outdoors"
"228","607392b146000061e3201796","Outdoors"
"229","607392b4460000eae3201798","Outdoors"
"230","610c36a03f0000d14fafd468","Indoors"
"231","610c369d3f0000d84fafd466","Indoors"
"232","610c34bd3f0000824fafd465","Indoors"
"233","610c369f3f0000d84fafd467","Indoors"
"234","611d1a61410000ae020b8127","Outdoors"
"235","611d1a5f410000aa020b8126","Outdoors"
"236","611d1a62410000aa020b8128","Outdoors"
"237","611d187c4100001d020b8124","Outdoors"
"238","610c3a5d3f00009b50afd46c","Outdoors"
"239","611d1a5d410000ae020b8125","Outdoors"
"240","6140be1e42000090d43825ae","Outdoors"
"241","6140c0004200008fd43825b4","Outdoors"
"242","6140be2042000093d43825af","Outdoors"
"243","6140bc3d42000090d43825ac","Outdoors"
"244","6140be2342000090d43825b1","Outdoors"
"245","6140be1c4200008fd43825ad","Outdoors"
"246","6140bffe4200008dd43825b3","Outdoors"
"247","6140c00342000090d43825b6","Outdoors"
"248","613f813d420000186838259a","Outdoors"
"249","613f7f5c4200000768382599","Outdoors"
"250","62150c434500004900cc8882","Indoors"
"251","621cedd74300005c72219d83","Indoors"
